RECETA,Producto de despensa,Ingredientes en receta,Cantidad necesaria,Unidad de medida de receta,Costo del ingrediente en la receta,Cantidad en Unidad Base Despensa,Precio por unidad de despensa,Cantidad necesaria en unidad base,Precio gramo,Formula,Planificación de comidas,Conteo Programados,gramos programados
Garbanzos (Recetario%20Familiar/Garbanzos%2024788a385be7800c817fef4c18570643.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),50,Gr,CLP 127,1000,2530,50,2.53,,,0,0
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),100,Gr,CLP 129,1000,1290,100,1.29,,,1,100
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,Gr,CLP 398,1000,1990,200,1.99,,,1,200
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),0.5,unidad,CLP 895,1,1790,0.5,1790,,,1,0.5
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Carne molida (Despensa%20Productos%20(Maestra)/Carne%20molida%2024688a385be780458ebce3f8e8143f04.csv),Carne molida (Despensa%20Productos%20(Maestra)/Carne%20molida%2024688a385be780458ebce3f8e8143f04.csv),800,Gr,"CLP 8,000",1000,10000,800,10,,,1,800
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Salsa de tomate (Despensa%20Productos%20(Maestra)/Salsa%20de%20tomate%2024788a385be7800c8b35fb6bf890672e.csv),Salsa de tomate (Despensa%20Productos%20(Maestra)/Salsa%20de%20tomate%2024788a385be7800c8b35fb6bf890672e.csv),800,Gr,"CLP 2,953",1000,4430,800,3.691666666667,,,1,800
Arroz con salsa (Recetario%20Familiar/Arroz%20con%20salsa%2024788a385be7807b9351e181b5a63e12.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),350,Gr,CLP 886,1000,2530,350,2.53,,,1,350
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),0.5,unidad,CLP 895,1,1790,0.5,1790,,,1,0.5
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,Gr,CLP 398,1000,1990,200,1.99,,,1,200
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),100,Gr,CLP 129,1000,1290,100,1.29,,,1,100
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Caldo (Despensa%20Productos%20(Maestra)/Caldo%2024688a385be780cc9349e2ced69e9a31.csv),Caldo (Despensa%20Productos%20(Maestra)/Caldo%2024688a385be780cc9349e2ced69e9a31.csv),5,Gr,CLP 80,1000,1280,5,16,,,1,5
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),800,Gr,CLP 384,1000,12000,800,0.48,,,1,800
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),500,Gr,CLP 516,1000,2890,500,1.032142857143,,,1,500
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),50,Gr,CLP 127,1000,2530,50,2.53,,,1,50
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Choclo (Despensa%20Productos%20(Maestra)/Choclo%2024688a385be780c1b0d5f0871c586323.csv),Choclo (Despensa%20Productos%20(Maestra)/Choclo%2024688a385be780c1b0d5f0871c586323.csv),250,Gr,"CLP 1,095",1000,2190,250,4.38,,,1,250
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Porotos Verdes (Despensa%20Productos%20(Maestra)/Porotos%20Verdes%2024688a385be780deac91eb42cb2aa0a2.csv),Porotos Verdes (Despensa%20Productos%20(Maestra)/Porotos%20Verdes%2024688a385be780deac91eb42cb2aa0a2.csv),175,Gr,CLP 645,1000,1290,175,3.685714285714,,,1,175
Cazuela (Recetario%20Familiar/Cazuela%2024788a385be7800eae23c4ba186ccef2.csv),Carne entera (Despensa%20Productos%20(Maestra)/Carne%20entera%2024688a385be780589a0de3f0de519501.csv),Carne entera (Despensa%20Productos%20(Maestra)/Carne%20entera%2024688a385be780589a0de3f0de519501.csv),1500,Gr,"CLP 15,000",1000,10000,1500,10,,,1,1500
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Porotos (Despensa%20Productos%20(Maestra)/Porotos%2024688a385be78008bde9fb6702be97df.csv),Porotos (Despensa%20Productos%20(Maestra)/Porotos%2024688a385be78008bde9fb6702be97df.csv),500,Gr,"CLP 1,945",1000,3890,500,3.89,,,0,0
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Fideos (Despensa%20Productos%20(Maestra)/Fideos%2024688a385be7800a81eec78ac805a286.csv),Fideos (Despensa%20Productos%20(Maestra)/Fideos%2024688a385be7800a81eec78ac805a286.csv),150,Gr,CLP 476,1000,1270,150,3.175,,,0,0
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),500,Gr,CLP 516,1000,2890,500,1.032142857143,,,0,0
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,Gr,CLP 398,1000,1990,200,1.99,,,0,0
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),100,Gr,CLP 129,1000,1290,100,1.29,,,0,0
Porotos (Recetario%20Familiar/Porotos%2024788a385be7801aafffe89a1ac73dd2.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),0.5,unidad,CLP 895,1,1790,0.5,1790,,,0,0
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),350,Gr,CLP 886,1000,2530,350,2.53,,,2,700
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Brocoli (Despensa%20Productos%20(Maestra)/Brocoli%2024688a385be780afafe7d3d6d48be6aa.csv),"Brocoli (Despensa%20Productos%20(Maestra)/Brocoli%2024688a385be780afafe7d3d6d48be6aa.csv) ",0.5,unidad,CLP 845,1,1690,0.5,1690,,,2,1
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Pollo (Despensa%20Productos%20(Maestra)/Pollo%2024688a385be7808d92f5fa608044b9ca.csv),Pollo (Despensa%20Productos%20(Maestra)/Pollo%2024688a385be7808d92f5fa608044b9ca.csv),500,Gr,"CLP 4,000",1000,8000,500,8,,,2,1000
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Zapallo Italiano (Despensa%20Productos%20(Maestra)/Zapallo%20Italiano%2024688a385be78048a084c311fc636fbb.csv),Zapallo Italiano (Despensa%20Productos%20(Maestra)/Zapallo%20Italiano%2024688a385be78048a084c311fc636fbb.csv),3,unidad,"CLP 2,370",1,790,3,790,,,2,6
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Acelga (Despensa%20Productos%20(Maestra)/Acelga%2024788a385be78081bdaad626bf6bd1e8.csv),Acelga (Despensa%20Productos%20(Maestra)/Acelga%2024788a385be78081bdaad626bf6bd1e8.csv),1,unidad,"CLP 1,590",1,1590,1,1590,,,2,2
Arroz con waffles de verdura (Recetario%20Familiar/Arroz%20con%20waffles%20de%20verdura%2024788a385be780cc911fd616b04a829a.csv),Huevos (Despensa%20Productos%20(Maestra)/Huevos%2024688a385be780d981a0c29009922ba9.csv),Huevos (Despensa%20Productos%20(Maestra)/Huevos%2024688a385be780d981a0c29009922ba9.csv),4,unidad,"CLP 1,025",1,7690,4,256.333333333333,,,2,8
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,Gr,CLP 398,1000,1990,200,1.99,,,1,200
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),Pimentón (Despensa%20Productos%20(Maestra)/Piment%C3%B3n%2024688a385be7803c8863ecbae6058762.csv),0.5,Gr,CLP 895,1,1790,0.5,1790,,,1,0.5
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),100,Gr,CLP 129,1000,1290,100,1.29,,,1,100
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),800,Gr,CLP 384,1000,12000,800,0.48,,,1,800
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),Zapallo (Despensa%20Productos%20(Maestra)/Zapallo%2024788a385be780118c65cee1c7e8acb5.csv),500,Gr,CLP 516,1000,2890,500,1.032142857143,,,1,500
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Choclo (Despensa%20Productos%20(Maestra)/Choclo%2024688a385be780c1b0d5f0871c586323.csv),Choclo (Despensa%20Productos%20(Maestra)/Choclo%2024688a385be780c1b0d5f0871c586323.csv),250,,"CLP 1,095",1000,2190,250,4.38,,,1,250
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Porotos Verdes (Despensa%20Productos%20(Maestra)/Porotos%20Verdes%2024688a385be780deac91eb42cb2aa0a2.csv),Porotos Verdes (Despensa%20Productos%20(Maestra)/Porotos%20Verdes%2024688a385be780deac91eb42cb2aa0a2.csv),175,,CLP 645,1000,1290,175,3.685714285714,,,1,175
Carbonada (Recetario%20Familiar/Carbonada%2024788a385be780b997b9c2be62eeacc5.csv),Carne entera (Despensa%20Productos%20(Maestra)/Carne%20entera%2024688a385be780589a0de3f0de519501.csv),Carne entera (Despensa%20Productos%20(Maestra)/Carne%20entera%2024688a385be780589a0de3f0de519501.csv),1200,,"CLP 12,000",1000,10000,1200,10,,,1,1200
Puré con bistec (Recetario%20Familiar/Pur%C3%A9%20con%20bistec%2024788a385be7808faae6c6b9d7fa0d20.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),1500,,CLP 720,1000,12000,1500,0.48,,,1,1500
Puré con bistec (Recetario%20Familiar/Pur%C3%A9%20con%20bistec%2024788a385be7808faae6c6b9d7fa0d20.csv),Crema sin lactosa (Despensa%20Productos%20(Maestra)/Crema%20sin%20lactosa%2024688a385be7804fa5bfc491266afc81.csv),Crema sin lactosa (Despensa%20Productos%20(Maestra)/Crema%20sin%20lactosa%2024688a385be7804fa5bfc491266afc81.csv),200,,"CLP 1,430",1000,7150,200,7.15,,,1,200
Puré con bistec (Recetario%20Familiar/Pur%C3%A9%20con%20bistec%2024788a385be7808faae6c6b9d7fa0d20.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),50,,CLP 518,1000,2590,50,10.36,,,1,50
Puré con bistec (Recetario%20Familiar/Pur%C3%A9%20con%20bistec%2024788a385be7808faae6c6b9d7fa0d20.csv),Bistec (Despensa%20Productos%20(Maestra)/Bistec%2024688a385be780cc8a1bd6e3c2eb626a.csv),Bistec (Despensa%20Productos%20(Maestra)/Bistec%2024688a385be780cc8a1bd6e3c2eb626a.csv),1200,,"CLP 14,400",1000,12000,1200,12,,,1,1200
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),Papas (Despensa%20Productos%20(Maestra)/Papas%2024688a385be78051952ef07bb7a71e4d.csv),1500,,CLP 720,1000,12000,1500,0.48,,,1,1500
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Crema sin lactosa (Despensa%20Productos%20(Maestra)/Crema%20sin%20lactosa%2024688a385be7804fa5bfc491266afc81.csv),Crema sin lactosa (Despensa%20Productos%20(Maestra)/Crema%20sin%20lactosa%2024688a385be7804fa5bfc491266afc81.csv),200,,"CLP 1,430",1000,7150,200,7.15,,,1,200
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),50,,CLP 518,1000,2590,50,10.36,,,1,50
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Pollo (Despensa%20Productos%20(Maestra)/Pollo%2024688a385be7808d92f5fa608044b9ca.csv),Pollo (Despensa%20Productos%20(Maestra)/Pollo%2024688a385be7808d92f5fa608044b9ca.csv),1200,,"CLP 9,600",1000,8000,1200,8,,,1,1200
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,,CLP 398,1000,1990,200,1.99,,,1,200
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Maicena (Despensa%20Productos%20(Maestra)/Maicena%2024788a385be780e19588c7a25bf6f66a.csv),Maicena (Despensa%20Productos%20(Maestra)/Maicena%2024788a385be780e19588c7a25bf6f66a.csv),50,,CLP 729,1000,7290,50,14.58,,,1,50
Puré con Pollo (Recetario%20Familiar/Pur%C3%A9%20con%20Pollo%2024788a385be7805ea93adfe24c45b68b.csv),Perejil (Despensa%20Productos%20(Maestra)/Perejil%2024788a385be780dfb647e0e231ec12c2.csv),Perejil (Despensa%20Productos%20(Maestra)/Perejil%2024788a385be780dfb647e0e231ec12c2.csv),1,unidad,CLP 650,1,650,1,650,,,1,1
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Carne molida (Despensa%20Productos%20(Maestra)/Carne%20molida%2024688a385be780458ebce3f8e8143f04.csv),Carne molida (Despensa%20Productos%20(Maestra)/Carne%20molida%2024688a385be780458ebce3f8e8143f04.csv),1000,Gr,"CLP 10,000",1000,10000,1000,10,,,1,1000
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),Cebolla (Despensa%20Productos%20(Maestra)/Cebolla%2024688a385be78035811fc2f9ededdb23.csv),200,Gr,CLP 398,1000,1990,200,1.99,,,1,200
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),Zanahoria (Despensa%20Productos%20(Maestra)/Zanahoria%2024688a385be780b19916e63cee979ebd.csv),800,Gr,"CLP 1,032",1000,1290,800,1.29,,,1,800
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Salsa de tomate (Despensa%20Productos%20(Maestra)/Salsa%20de%20tomate%2024788a385be7800c8b35fb6bf890672e.csv),Salsa de tomate (Despensa%20Productos%20(Maestra)/Salsa%20de%20tomate%2024788a385be7800c8b35fb6bf890672e.csv),800,Gr,"CLP 2,953",1000,4430,800,3.691666666667,,,1,800
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Mozzarella (Despensa%20Productos%20(Maestra)/Mozzarella%2024988a385be780c3b6aed7b85823feb5.csv),Mozzarella (Despensa%20Productos%20(Maestra)/Mozzarella%2024988a385be780c3b6aed7b85823feb5.csv),400,Gr,"CLP 6,190",1000,6190,400,15.475,,,1,400
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Queso rallado (Despensa%20Productos%20(Maestra)/Queso%20rallado%2024788a385be78051b628e70fa5fce3f0.csv),Queso rallado (Despensa%20Productos%20(Maestra)/Queso%20rallado%2024788a385be78051b628e70fa5fce3f0.csv),40,Gr,"CLP 1,065",1000,2130,40,26.625,,,1,40
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Champiñones (Despensa%20Productos%20(Maestra)/Champi%C3%B1ones%2024788a385be78065a38dd9727d60cb9d.csv),Champiñones (Despensa%20Productos%20(Maestra)/Champi%C3%B1ones%2024788a385be78065a38dd9727d60cb9d.csv),115,Gr,CLP 990,1000,990,115,8.608695652174,,,1,115
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),Mantequilla (Despensa%20Productos%20(Maestra)/Mantequilla%2024788a385be780f6b9bdee4757ad713a.csv),150,Gr,"CLP 1,554",1000,2590,150,10.36,,,1,150
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Leche sin lactosa (Despensa%20Productos%20(Maestra)/Leche%20sin%20lactosa%2024988a385be780acaf15e57e702c35b2.csv),Leche sin lactosa (Despensa%20Productos%20(Maestra)/Leche%20sin%20lactosa%2024988a385be780acaf15e57e702c35b2.csv),600,Gr,CLP 810,1000,1350,600,1.35,,,1,600
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Harina 0000 (Despensa%20Productos%20(Maestra)/Harina%200000%2024088a385be780cd84dae071e44c1b18.csv),Harina 0000 (Despensa%20Productos%20(Maestra)/Harina%200000%2024088a385be780cd84dae071e44c1b18.csv),75,Gr,CLP 80,1000,26500,75,1.06,,,1,75
Lasagna (Recetario%20Familiar/Lasagna%2024988a385be7800cbf17c0be81ab948a.csv),Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv),Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv),15,Gr,CLP 5,1000,800,15,0.32,,,1,15
Arroz con nugget (Recetario%20Familiar/Arroz%20con%20nugget%2025f88a385be780f88a49c17931294564.csv),Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv),Sal (Despensa%20Productos%20(Maestra)/Sal%2024388a385be7807c8327ca54cb041202.csv),10,Gr,CLP 3,1000,800,10,0.32,,,0,0
Arroz con nugget (Recetario%20Familiar/Arroz%20con%20nugget%2025f88a385be780f88a49c17931294564.csv),aceite de oliva (Despensa%20Productos%20(Maestra)/aceite%20de%20oliva%2024788a385be78079b467f1500a0dfff9.csv),"aceite de oliva (Despensa%20Productos%20(Maestra)/aceite%20de%20oliva%2024788a385be78079b467f1500a0dfff9.csv) ",15,Gr,CLP 165,1000,11000,15,11,,,0,0
Arroz con nugget (Recetario%20Familiar/Arroz%20con%20nugget%2025f88a385be780f88a49c17931294564.csv),Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv),"Arroz (Despensa%20Productos%20(Maestra)/Arroz%2024688a385be7806eb9f7f7ab70a8dcdd.csv) ",350,Gr,CLP 886,1000,2530,350,2.53,,,0,0
Arroz con nugget (Recetario%20Familiar/Arroz%20con%20nugget%2025f88a385be780f88a49c17931294564.csv),Nuggets (Despensa%20Productos%20(Maestra)/Nuggets%2025f88a385be780fd9fd9e6d1df67d66b.csv),"Nuggets (Despensa%20Productos%20(Maestra)/Nuggets%2025f88a385be780fd9fd9e6d1df67d66b.csv) ",6,unidad,"CLP 5,850",1,19500,6,975,,,0,0