Producto,Gramos Programados,Gasto programado
Nuggets,0,CLP 0
Leche sin lactosa,600,CLP 810
Mozzarella,400,"CLP 6,190"
Caja Lasagna,0,CLP 0
Perejil,1,CLP 650
Maicena,50,CLP 729
Zapallo,1000,"CLP 1,032"
aceite de oliva,20,CLP 220
Mantequilla,300,"CLP 3,108"
Queso rallado,200,"CLP 5,325"
Salsa de tomate,8800,"CLP 32,487"
Ketchup,200,CLP 647
Mayonesa,150,CLP 757
Champiñones,115,CLP 990
Tomate,1800,"CLP 3,222"
Palta,600,"CLP 2,394"
Tortillas Fajitas,16,"CLP 5,300"
Ravioles,0,CLP 0
Acelga,4,"CLP 6,360"
Arvejas,250,"CLP 1,160"
Garbanzos,0,CLP 0
Porotos,0,CLP 0
Carne entera,2700,"CLP 27,000"
Brocoli,1,"CLP 1,690"
Zapallo Italiano,6,"CLP 4,740"
Huevos,16,"CLP 4,101"
Porotos Verdes,550,"CLP 2,027"
Choclo,1500,"CLP 6,570"
Pollo,3700,"CLP 29,600"
Bistec,1200,"CLP 14,400"
Papas,9100,"CLP 4,368"
Jamón,1200,"CLP 2,400"
Crema sin lactosa,2400,"CLP 17,160"
Fideos sin Gluten,1120,"CLP 10,780"
Fideos,4200,"CLP 13,335"
Carne molida,9000,"CLP 90,000"
Arroz,1450,"CLP 3,669"
Pimentón,2,"CLP 3,580"
Caldo,5,CLP 80
Longanizas,0,CLP 0
Cebolla,2500,"CLP 4,975"
Zanahoria,2000,"CLP 2,580"
Lentejas,0,CLP 0
Miel,0,CLP 0
Levadura fresca,930,"CLP 5,115"
Sal,740,CLP 237
Harina 0000,31075,"CLP 32,940"